Antwort ID,Geschlecht,Altersgruppe,E-Mail,Wie häufig nutzen Sie aktuell generative KI im Arbeitskontext? [Benutzung KI],"Wo setzen Sie Generative KI typischerweise ein? [Texterstellung und -bearbeitung (z.B. Verfassung von Mails, Artikel oder Zusammenfassungen)]","Wo setzen Sie Generative KI typischerweise ein? [Kreative Inhalte erstellen (z.B. Bilder, Musik, Videos, Designs etc.)]","Wo setzen Sie Generative KI typischerweise ein? [Programmieren und Automatisieren (z.B. Code schreiben, Fehler beheben etc.)]","Wo setzen Sie Generative KI typischerweise ein? [Lernen und Bildung (z.B. individuelle Erklärungen, Zusammenfassungen, Lernhilfe etc.)]","Wo setzen Sie Generative KI typischerweise ein? [Kommunikation und Übersetzung verbessern (z.B. Korrektur von Texten, Übersetzungen von Artikeln etc.)]",Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Effizienz],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Kreativität],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Arbeitsentlastung],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Zuverlässigkeit],Welche Erwartungen hatten Sie an die Generative KI vor der Nutzung? [Innovation],Welche dieser Erwartungen wurden erfüllt? [Effizienz][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Effizienz][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Kreativität][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Kreativität][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Arbeitsentlastung][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Arbeitsentlastung][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Zuverlässigkeit][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Zuverlässigkeit][Skala 2],Welche dieser Erwartungen wurden erfüllt? [Innovation][Skala 1],Welche dieser Erwartungen wurden erfüllt? [Innovation][Skala 2],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Zeitersparnis],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Kreative Impulse],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Entlastung (Zeit + Aufwand)],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Qualität],Welche positiven Erfahrungen habe Sie mit Generativer KI gemacht? [Keine bemerkbaren Effekte],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Ungenaue Resultate],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Fehlender Datenschutz],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Verbreitung von Fehlinformationen (Fake News)],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Abhängigkeit von Technologie],Welche negativen Erfahrungen haben Sie mit Generativer KI gemacht? [Verlust von Originalität / menschlicher Kreativität],Wie stark vertrauen Sie den Resultaten von Generativer KI?,Hat Generative KI Ihre Arbeitsweise verändert?,Wie kompetent fühlen Sie sich im Umgang mit Generativer KI?,Hatten Sie Schulungen oder Trainings im Zusammenhang mit Generativer KI?,Wie gut unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Technologische Infrastruktur],Wie gut unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Guidelines zur Benutzung von Generativer KI],Wie gut unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Schulungen / Kurse / Webinare],Wie gut unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Rechtliche Richtlinien],Wie gut unterstützt Ihr Unternehmen die Nutzung von Generativer KI? [Kulturelle Offenheit],Würden Sie Generative KI Ihren Mitmenschen weiterempfehlen? [Weiterempfehlung],"Planen Sie, Generative KI in Zukunft (mehr) zu nutzen?",  
41,Männlich,18-25,@stud.hslu.ch,8,Ja,Nein,Ja,Ja,Nein,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Wenig Vertrauen,Nein,Gute Kompetenz,Nein,Zufriedenstellend,Zufriedenstellend,Zufriedenstellend,Gar Nicht,Gar Nicht,7,Ja,
42,Weiblich,36-45,@quilvest.com,4,Ja,Nein,Nein,Nein,Ja,Hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Ja,Ja,Neutrales Vertrauen,Ja,Geringe Kompetenz,Nein,Zufriedenstellend,Gar Nicht,Wenig,Wenig,Gut,6,Ja,
43,Weiblich,18-25,@students.zhaw.ch,4,Ja,Nein,Ja,Ja,Ja,Wenig Erwartungen,Keine Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Sehr hohe Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Keine Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Neutrales Vertrauen,Ja,Mittlere Kompetenz,Nein,Gut,Gar Nicht,Wenig,Wenig,Zufriedenstellend,9,Nein,
44,Männlich,26-35,@gmail.com,8,Ja,Ja,Nein,Ja,Ja,Hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Neutrales Vertrauen,Ja,Gute Kompetenz,Nein,Gut,Gut,Gut,Zufriedenstellend,Zufriedenstellend,8,Ja,
45,Männlich,26-35,@hotmail.com,10,Ja,Nein,Nein,Ja,Ja,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Nein,Hohes Vertrauen,Ja,Gute Kompetenz,Nein,Gar Nicht,Gar Nicht,Gar Nicht,Gar Nicht,Gar Nicht,10,Ja,
46,Männlich,18-25,@students.zhaw.ch,8,Ja,Ja,Ja,Ja,Ja,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Hohes Vertrauen,Ja,Mittlere Kompetenz,Nein,Gut,Gut,Zufriedenstellend,Gut,Zufriedenstellend,8,Ja,
47,Männlich,26-35,@gmail.com,3,Nein,Nein,Nein,Ja,Nein,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Nein,Ja,Hohes Vertrauen,Nein,Mittlere Kompetenz,Nein,Gar Nicht,Gar Nicht,Gar Nicht,Gar Nicht,Gar Nicht,10,Ja,
49,Weiblich,26-35,@students.zhaw.ch,5,Ja,Nein,Ja,Nein,Nein,Neutrale Erwartungen,Keine Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Keine Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Neutrales Vertrauen,Ja,Gute Kompetenz,Nein,Gar Nicht,Gar Nicht,Gar Nicht,Gar Nicht,Zufriedenstellend,8,Ja,
50,Männlich,26-35,@students.zhaw.ch,7,Ja,Ja,Ja,Ja,Ja,Sehr hohe Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Keine Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Keine Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Ja,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Wenig Vertrauen,Nein,Gute Kompetenz,Ja,Gut,Gut,Zufriedenstellend,Sehr Gut,Zufriedenstellend,8,Ja,
51,Männlich,26-35,@gmail.com,10,Ja,Nein,Ja,Nein,Ja,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Ja,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Ja,Nein,Wenig Vertrauen,Ja,Gute Kompetenz,Nein,Gut,Gar Nicht,Gar Nicht,Gar Nicht,Gut,10,Ja,
52,Weiblich,26-35,@students.zhaw.ch,10,Ja,Nein,Ja,Ja,Ja,Hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Neutrale Erwartungen,Neutrale Erwartungen,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,Nein,Nein,Hohes Vertrauen,Ja,Gute Kompetenz,Nein,Zufriedenstellend,Gut,Gut,Gut,Sehr Gut,10,Ja,
53,Männlich,18-25,@students.zhaw.ch,8,Ja,Nein,Ja,Nein,Nein,Hohe Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Hohes Vertrauen,Ja,Gute Kompetenz,Nein,Gut,Sehr Gut,Gut,Sehr Gut,Zufriedenstellend,10,Ja,
54,Männlich,26-35,@freenet.de,7,Nein,Nein,Nein,Ja,Nein,Neutrale Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Sehr hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Neutrales Vertrauen,Ja,Mittlere Kompetenz,Nein,Wenig,Wenig,Gar Nicht,Gar Nicht,Wenig,10,Ja,
56,Männlich,18-25,@students.zhaw.ch,10,Ja,Nein,Nein,Nein,Ja,Sehr hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Sehr hohe Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Nein,Neutrales Vertrauen,Ja,Gute Kompetenz,Nein,Gut,Gar Nicht,Gar Nicht,Gar Nicht,Gar Nicht,10,Ja,
57,Männlich,18-25,@students.zhaw.ch,3,Ja,Nein,Ja,Ja,Ja,Keine Erwartungen,Keine Erwartungen,Keine Erwartungen,Keine Erwartungen,Keine Erwartungen,Keine Erwartungen,Wenig Erwartungen,Keine Erwartungen,Wenig Erwartungen,Keine Erwartungen,Neutrale Erwartungen,Keine Erwartungen,Wenig Erwartungen,Keine Erwartungen,Neutrale Erwartungen,Ja,Nein,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Nein,Wenig Vertrauen,Nein,Mittlere Kompetenz,Nein,Zufriedenstellend,Wenig,Wenig,Wenig,Wenig,4,Unsicher,
58,Männlich,18-25,@students.zhaw.ch,7,Ja,Nein,Ja,Ja,Ja,Wenig Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Wenig Erwartungen,Neutrale Erwartungen,Sehr hohe Erwartungen,Hohe Erwartungen,Wenig Erwartungen,Wenig Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Hohe Erwartungen,Neutrale Erwartungen,Ja,Ja,Ja,Ja,Nein,Ja,Nein,Ja,Ja,Ja,Hohes Vertrauen,Ja,Gute Kompetenz,Ja,Zufriedenstellend,Gut,Zufriedenstellend,Wenig,Wenig,10,Ja,
